combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,11,6,5,0,0,186,109,232,35.294117647058826,20.683111954459203,44.022770398481974,31.0,21.8,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,30,19,10,0,1,209,113,205,39.658444022770404,21.44212523719165,38.89943074003795,11.0,11.3,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,30,15,12,1,2,262,102,163,49.71537001897533,19.35483870967742,30.929791271347252,17.466666666666665,8.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,7,3,3,0,1,225,120,182,42.69449715370019,22.770398481973434,34.53510436432637,75.0,40.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,50,27,19,2,2,253,94,180,48.007590132827325,17.836812144212523,34.15559772296015,9.37037037037037,4.947368421052632,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,62,30,29,2,1,246,83,198,46.67931688804554,15.749525616698293,37.571157495256166,8.2,2.8620689655172415,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,72,39,30,2,1,237,80,210,44.97153700189753,15.180265654648956,39.84819734345351,6.076923076923077,2.6666666666666665,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,28,16,9,1,2,255,116,156,48.38709677419355,22.011385199240987,29.601518026565465,15.9375,12.88888888888889,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,43,27,14,1,1,247,99,181,46.86907020872865,18.785578747628083,34.34535104364326,9.148148148148149,7.071428571428571,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,68,24,42,1,1,248,79,200,47.05882352941176,14.990512333965844,37.95066413662239,10.333333333333334,1.880952380952381,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,32,22,10,0,0,171,100,256,32.44781783681214,18.975332068311197,48.57685009487666,7.7727272727272725,10.0,True,
