equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rsma_50100150__rbo_50_equity_constant,17621.839900000003,76.21839900000002,-53.75291347572237,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50_equity_constant
rsma_50100150__rema_100150_equity_constant,17460.574299999997,74.60574299999996,-49.51024121588443,rsma_50100150__rema_100150,15.0,rsma_50100150__rema_100150_equity_constant
rema_50100150__rema_100150_equity_constant,17441.0281,74.410281,-44.54440203997257,rema_50100150__rema_100150,10.0,rema_50100150__rema_100150_equity_constant
rbo_20__rbo_20_equity_constant,17221.779700000003,72.21779700000002,-44.85086026908554,rbo_20__rbo_20,5.0,rbo_20__rbo_20_equity_constant
rema_100150__rsma_50100150_equity_constant,17187.396400000016,71.87396400000017,-45.332343200224926,rema_100150__rsma_50100150,92.0,rema_100150__rsma_50100150_equity_constant
rsma_50100150__rsma_50100_equity_constant,17047.528299999998,70.47528299999999,-48.16556828986849,rsma_50100150__rsma_50100,7.0,rsma_50100150__rsma_50100_equity_constant
rsma_50100__rsma_50100150_equity_constant,17035.45830000001,70.3545830000001,-46.125546378163776,rsma_50100__rsma_50100150,92.0,rsma_50100__rsma_50100150_equity_constant
rema_50100150__rsma_50100_equity_constant,16817.714600000003,68.17714600000002,-42.3464187513794,rema_50100150__rsma_50100,3.0,rema_50100150__rsma_50100_equity_constant
rema_50100150__rema_50100_equity_constant,16817.714600000003,68.17714600000002,-42.3464187513794,rema_50100150__rema_50100,3.0,rema_50100150__rema_50100_equity_constant
rema_100150__rbo_20_equity_constant,16817.21900000001,68.17219000000007,-47.97376100235111,rema_100150__rbo_20,57.0,rema_100150__rbo_20_equity_constant
rema_100150__rtt_5020_equity_constant,16775.59749999999,67.75597499999988,-47.73146121996199,rema_100150__rtt_5020,21.0,rema_100150__rtt_5020_equity_constant
rsma_50100150__rbo_20_equity_constant,16674.46800000001,66.74468000000012,-44.08423508687414,rsma_50100150__rbo_20,23.0,rsma_50100150__rbo_20_equity_constant
rema_50100__rsma_50100150_equity_constant,16670.51150000001,66.70511500000012,-46.277694778923184,rema_50100__rsma_50100150,93.0,rema_50100__rsma_50100150_equity_constant
rema_100150__rbo_50_equity_constant,16639.700600000015,66.39700600000013,-47.50877571287429,rema_100150__rbo_50,24.0,rema_100150__rbo_50_equity_constant
rbo_50__rsma_50100150_equity_constant,16572.24550000002,65.7224550000002,-50.254060530495224,rbo_50__rsma_50100150,93.0,rbo_50__rsma_50100150_equity_constant
rsma_50100__rbo_20_equity_constant,16546.56469999999,65.46564699999993,-48.70663919657303,rsma_50100__rbo_20,57.0,rsma_50100__rbo_20_equity_constant
rtt_5020__rbo_20_equity_constant,16530.831500000008,65.30831500000008,-44.48516193964001,rtt_5020__rbo_20,5.0,rtt_5020__rbo_20_equity_constant
rbo_20__rsma_50100150_equity_constant,16390.924199999998,63.90924199999996,-48.77856166909664,rbo_20__rsma_50100150,60.0,rbo_20__rsma_50100150_equity_constant
rsma_50100__rtt_5020_equity_constant,16194.858699999984,61.94858699999983,-47.294621920059456,rsma_50100__rtt_5020,21.0,rsma_50100__rtt_5020_equity_constant
rema_50100150__rtt_5020_equity_constant,16192.036299999994,61.920362999999945,-53.155605591180255,rema_50100150__rtt_5020,16.0,rema_50100150__rtt_5020_equity_constant
rema_50100150__rbo_50_equity_constant,16192.036299999994,61.920362999999945,-53.155605591180255,rema_50100150__rbo_50,16.0,rema_50100150__rbo_50_equity_constant
rema_50100__rbo_20_equity_constant,16168.917500000005,61.68917500000004,-48.28295023572422,rema_50100__rbo_20,58.0,rema_50100__rbo_20_equity_constant
rbo_20__rema_100150_equity_constant,16159.265299999995,61.59265299999996,-48.57105388815973,rbo_20__rema_100150,16.0,rbo_20__rema_100150_equity_constant
rsma_50100__rbo_50_equity_constant,16155.116299999996,61.55116299999997,-47.38848749710627,rsma_50100__rbo_50,24.0,rsma_50100__rbo_50_equity_constant
rsma_50100150__rtt_5020_equity_constant,16139.496799999995,61.39496799999995,-53.69377132137182,rsma_50100150__rtt_5020,20.0,rsma_50100150__rtt_5020_equity_constant
rtt_5020__rsma_50100150_equity_constant,16131.580000000005,61.31580000000005,-48.72968897456323,rtt_5020__rsma_50100150,59.0,rtt_5020__rsma_50100150_equity_constant
rbo_20__rsma_50100_equity_constant,16041.546599999989,60.415465999999896,-48.1227098444953,rbo_20__rsma_50100,8.0,rbo_20__rsma_50100_equity_constant
rbo_100__rema_100150_equity_constant,16013.994000000017,60.13994000000018,-43.98331516227888,rbo_100__rema_100150,8.0,rbo_100__rema_100150_equity_constant
rema_50100150__rbo_20_equity_constant,15921.714299999994,59.217142999999936,-42.01046236830392,rema_50100150__rbo_20,18.0,rema_50100150__rbo_20_equity_constant
rema_100150__rema_100150_equity_constant,15845.663900000003,58.456639000000024,-43.599201107782484,rema_100150__rema_100150,3.0,rema_100150__rema_100150_equity_constant
rema_100150__rbo_100_equity_constant,15845.663900000003,58.456639000000024,-43.599201107782484,rema_100150__rbo_100,3.0,rema_100150__rbo_100_equity_constant
rema_100150__rema_50100_equity_constant,15845.663900000003,58.456639000000024,-43.599201107782484,rema_100150__rema_50100,3.0,rema_100150__rema_50100_equity_constant
rema_100150__rsma_50100_equity_constant,15845.663900000003,58.456639000000024,-43.599201107782484,rema_100150__rsma_50100,3.0,rema_100150__rsma_50100_equity_constant
rbo_100__rsma_50100150_equity_constant,15844.657600000024,58.44657600000025,-44.40133255195238,rbo_100__rsma_50100150,93.0,rbo_100__rsma_50100150_equity_constant
rsma_50100__rema_100150_equity_constant,15802.427900000013,58.024279000000135,-45.11216499648938,rsma_50100__rema_100150,11.0,rsma_50100__rema_100150_equity_constant
rsma_50100150__rsma_100150_equity_constant,15780.547400000009,57.80547400000009,-45.28925949713652,rsma_50100150__rsma_100150,30.0,rsma_50100150__rsma_100150_equity_constant
rbo_20__rsma_100150_equity_constant,15744.020500000002,57.44020500000002,-48.66191526133557,rbo_20__rsma_100150,36.0,rbo_20__rsma_100150_equity_constant
rbo_50__rbo_20_equity_constant,15740.994899999998,57.40994899999998,-46.60871936317288,rbo_50__rbo_20,41.0,rbo_50__rbo_20_equity_constant
rbo_20__rema_50100_equity_constant,15662.12529999999,56.62125299999992,-46.55551150308605,rbo_20__rema_50100,7.0,rbo_20__rema_50100_equity_constant
rsma_50100150__rema_50100_equity_constant,15632.691400000002,56.326914,-45.30552038794704,rsma_50100150__rema_50100,4.0,rsma_50100150__rema_50100_equity_constant
rtt_5020__rema_100150_equity_constant,15498.397599999998,54.98397599999998,-48.29103641617649,rtt_5020__rema_100150,16.0,rtt_5020__rema_100150_equity_constant
rema_50100__rema_100150_equity_constant,15474.64559999999,54.746455999999895,-45.0140580166132,rema_50100__rema_100150,13.0,rema_50100__rema_100150_equity_constant
rtt_5020__rsma_50100_equity_constant,15462.113699999993,54.62113699999993,-48.110597031071045,rtt_5020__rsma_50100,8.0,rtt_5020__rsma_50100_equity_constant
rsma_50100__rsma_50100_equity_constant,15453.465699999999,54.534656999999996,-43.74457706650915,rsma_50100__rsma_50100,3.0,rsma_50100__rsma_50100_equity_constant
rsma_50100__rema_50100_equity_constant,15453.465699999999,54.534656999999996,-43.74457706650915,rsma_50100__rema_50100,3.0,rsma_50100__rema_50100_equity_constant
