equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_20__rsma_100150_equity_convex,20562.62279999995,105.6262279999995,-104.5930865191677,rbo_20__rsma_100150,36.0,rbo_20__rsma_100150_equity_convex
rtt_5020__rsma_100150_equity_convex,20562.62279999995,105.6262279999995,-104.5930865191677,rtt_5020__rsma_100150,36.0,rtt_5020__rsma_100150_equity_convex
rtt_5020__rsma_100150_equity_concave,19515.836199999954,95.15836199999954,-104.5275766382381,rtt_5020__rsma_100150,36.0,rtt_5020__rsma_100150_equity_concave
rbo_20__rsma_100150_equity_concave,19515.836199999954,95.15836199999954,-104.5275766382381,rbo_20__rsma_100150,36.0,rbo_20__rsma_100150_equity_concave
rbo_50__rsma_50100150_equity_constant,15844.08859999999,58.44088599999991,-40.93766907699644,rbo_50__rsma_50100150,65.0,rbo_50__rsma_50100150_equity_constant
rsma_50100150__rsma_50100150_equity_constant,14363.622900000011,43.63622900000011,-34.924825255748246,rsma_50100150__rsma_50100150,5.0,rsma_50100150__rsma_50100150_equity_constant
rbo_50__rema_50100150_equity_constant,14237.618499999993,42.376184999999936,-33.26607042614435,rbo_50__rema_50100150,84.0,rbo_50__rema_50100150_equity_constant
rbo_50__rtt_5020_equity_constant,13955.000000000004,39.55000000000004,-33.25603083011728,rbo_50__rtt_5020,3.0,rbo_50__rtt_5020_equity_constant
rbo_50__rbo_50_equity_constant,13955.000000000004,39.55000000000004,-33.25603083011728,rbo_50__rbo_50,3.0,rbo_50__rbo_50_equity_constant
rsma_50100150__rbo_20_equity_constant,13916.491799999993,39.16491799999993,-33.94818152936722,rsma_50100150__rbo_20,39.0,rsma_50100150__rbo_20_equity_constant
rsma_50100150__rbo_50_equity_constant,13776.9423,37.76942300000001,-32.83279139815554,rsma_50100150__rbo_50,38.0,rsma_50100150__rbo_50_equity_constant
rtt_5020__rema_50100150_equity_constant,13727.608700000004,37.27608700000005,-27.830118001542374,rtt_5020__rema_50100150,67.0,rtt_5020__rema_50100150_equity_constant
rema_50100__rsma_50100150_equity_constant,13508.512499999986,35.08512499999987,-35.250212796938115,rema_50100__rsma_50100150,95.0,rema_50100__rsma_50100150_equity_constant
rsma_50100__rsma_50100150_equity_constant,13489.639499999997,34.89639499999997,-35.12183953096778,rsma_50100__rsma_50100150,94.0,rsma_50100__rsma_50100150_equity_constant
rema_100150__rsma_50100150_equity_constant,13465.15059999999,34.65150599999991,-34.955809074251334,rema_100150__rsma_50100150,90.0,rema_100150__rsma_50100150_equity_constant
rbo_50__rbo_20_equity_constant,13281.629699999978,32.81629699999977,-30.912488935531478,rbo_50__rbo_20,27.0,rbo_50__rbo_20_equity_constant
rsma_50100150__rtt_5020_equity_constant,13236.5746,32.365745999999994,-32.83279139815554,rsma_50100150__rtt_5020,32.0,rsma_50100150__rtt_5020_equity_constant
rema_100150__rbo_50_equity_constant,13157.211099999997,31.57211099999997,-34.01379010703805,rema_100150__rbo_50,63.0,rema_100150__rbo_50_equity_constant
