combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,5,1,4,0,0,22,142,366,4.150943396226415,26.79245283018868,69.0566037735849,22.0,35.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,16,1,15,0,0,40,151,339,7.547169811320755,28.49056603773585,63.96226415094339,40.0,10.066666666666666,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,12,1,11,0,0,66,217,247,12.452830188679245,40.943396226415096,46.60377358490566,66.0,19.727272727272727,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,5,1,4,0,0,40,162,328,7.547169811320755,30.566037735849054,61.886792452830186,40.0,40.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,13,3,9,0,1,64,204,262,12.075471698113208,38.49056603773585,49.43396226415094,21.333333333333332,22.666666666666668,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,36,10,25,0,1,11,214,305,2.0754716981132075,40.37735849056604,57.54716981132076,1.1,8.56,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,53,9,44,0,0,14,107,409,2.6415094339622645,20.18867924528302,77.16981132075472,1.5555555555555556,2.4318181818181817,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,3,0,2,0,1,54,231,245,10.18867924528302,43.58490566037736,46.22641509433962,0.0,115.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,10,7,2,0,1,52,237,241,9.811320754716983,44.716981132075475,45.47169811320755,7.428571428571429,118.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,80,8,72,0,0,47,78,405,8.867924528301886,14.716981132075471,76.41509433962264,5.875,1.0833333333333333,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,27,10,17,0,0,31,134,365,5.849056603773585,25.28301886792453,68.86792452830188,3.1,7.882352941176471,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,1,2,0,0,40,151,339,7.547169811320755,28.49056603773585,63.96226415094339,40.0,75.5,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,7,1,5,1,0,66,221,243,12.452830188679245,41.69811320754717,45.84905660377358,66.0,44.2,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,1,2,0,0,40,151,339,7.547169811320755,28.49056603773585,63.96226415094339,40.0,75.5,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,6,3,1,1,1,64,210,256,12.075471698113208,39.62264150943396,48.301886792452834,21.333333333333332,210.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,51,19,30,1,1,48,221,261,9.056603773584905,41.69811320754717,49.24528301886792,2.526315789473684,7.366666666666666,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,65,18,46,1,0,50,105,375,9.433962264150944,19.81132075471698,70.75471698113208,2.7777777777777777,2.282608695652174,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,3,0,2,0,1,54,244,232,10.18867924528302,46.0377358490566,43.77358490566038,0.0,122.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,10,7,2,0,1,52,250,228,9.811320754716983,47.16981132075472,43.0188679245283,7.428571428571429,125.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,84,8,76,0,0,47,76,407,8.867924528301886,14.339622641509434,76.79245283018868,5.875,1.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,70,23,47,0,0,44,170,316,8.30188679245283,32.075471698113205,59.62264150943396,1.9130434782608696,3.617021276595745,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,53,14,39,0,0,52,179,299,9.811320754716983,33.77358490566038,56.41509433962264,3.7142857142857144,4.589743589743589,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,1,2,0,0,66,216,248,12.452830188679245,40.75471698113208,46.79245283018868,66.0,108.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,48,14,34,0,0,52,184,294,9.811320754716983,34.71698113207547,55.471698113207545,3.7142857142857144,5.411764705882353,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,13,3,9,0,1,64,208,258,12.075471698113208,39.24528301886793,48.679245283018865,21.333333333333332,23.11111111111111,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,47,19,27,0,1,48,216,266,9.056603773584905,40.75471698113208,50.18867924528302,2.526315789473684,8.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,95,18,77,0,0,49,166,315,9.245283018867925,31.32075471698113,59.43396226415094,2.7222222222222223,2.155844155844156,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,9,6,2,0,1,60,235,235,11.320754716981133,44.339622641509436,44.339622641509436,10.0,117.5,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,14,11,2,0,1,56,241,233,10.566037735849058,45.47169811320755,43.9622641509434,5.090909090909091,120.5,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,119,10,109,0,0,57,109,364,10.754716981132075,20.566037735849058,68.67924528301886,5.7,1.0,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,3,1,2,0,0,22,118,390,4.150943396226415,22.264150943396228,73.58490566037736,22.0,59.0,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,3,1,2,0,0,40,138,352,7.547169811320755,26.037735849056602,66.41509433962264,40.0,69.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,5,1,4,0,0,66,210,254,12.452830188679245,39.62264150943396,47.924528301886795,66.0,52.5,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,3,1,2,0,0,40,138,352,7.547169811320755,26.037735849056602,66.41509433962264,40.0,69.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,6,3,2,0,1,64,197,269,12.075471698113208,37.16981132075471,50.75471698113208,21.333333333333332,98.5,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,36,10,25,0,1,11,214,305,2.0754716981132075,40.37735849056604,57.54716981132076,1.1,8.56,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,46,9,37,0,0,14,82,434,2.6415094339622645,15.471698113207546,81.88679245283019,1.5555555555555556,2.2162162162162162,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,3,0,2,0,1,54,231,245,10.18867924528302,43.58490566037736,46.22641509433962,0.0,115.5,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,10,7,2,0,1,52,237,241,9.811320754716983,44.716981132075475,45.47169811320755,7.428571428571429,118.5,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,67,8,59,0,0,47,59,424,8.867924528301886,11.132075471698114,80.0,5.875,1.0,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,64,23,41,0,0,38,168,324,7.169811320754717,31.69811320754717,61.13207547169811,1.6521739130434783,4.097560975609756,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,45,14,31,0,0,47,179,304,8.867924528301886,33.77358490566038,57.35849056603774,3.357142857142857,5.774193548387097,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,7,1,6,0,0,61,220,249,11.50943396226415,41.509433962264154,46.9811320754717,61.0,36.666666666666664,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,40,14,26,0,0,47,184,299,8.867924528301886,34.71698113207547,56.41509433962264,3.357142857142857,7.076923076923077,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,3,1,2,0,0,61,209,260,11.50943396226415,39.43396226415095,49.056603773584904,61.0,104.5,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,48,17,31,0,0,45,220,265,8.49056603773585,41.509433962264154,50.0,2.6470588235294117,7.096774193548387,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,94,17,77,0,0,45,174,311,8.49056603773585,32.83018867924528,58.679245283018865,2.6470588235294117,2.25974025974026,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,9,7,2,0,0,54,243,233,10.18867924528302,45.84905660377358,43.9622641509434,7.714285714285714,121.5,True,
