equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rema_50100150__rbo_100_equity_concave,266026.62400000007,2560.266240000001,-101.74141593155746,rema_50100150__rbo_100,52.0,rema_50100150__rbo_100_equity_concave
rema_100150__rbo_20_equity_concave,181190.0578,1711.9005780000002,-94.58545180727901,rema_100150__rbo_20,48.0,rema_100150__rbo_20_equity_concave
rema_50100150__rbo_20_equity_concave,180903.28520000007,1709.0328520000007,-96.86924839770683,rema_50100150__rbo_20,51.0,rema_50100150__rbo_20_equity_concave
rema_50100150__rtt_5020_equity_concave,152478.33399999983,1424.7833399999984,-93.96764539368075,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020_equity_concave
rsma_50100__rtt_5020_equity_concave,139852.8632,1298.5286319999998,-102.44473382897432,rsma_50100__rtt_5020,22.0,rsma_50100__rtt_5020_equity_concave
rema_50100150__rbo_100_equity_convex,138426.5746,1284.265746,-93.39984500486416,rema_50100150__rbo_100,52.0,rema_50100150__rbo_100_equity_convex
rema_50100150__rbo_50_equity_concave,134195.44970000003,1241.9544970000002,-93.13371276276393,rema_50100150__rbo_50,21.0,rema_50100150__rbo_50_equity_concave
rema_50100150__rsma_50100_equity_concave,127262.63580000006,1172.6263580000007,-98.71845169221274,rema_50100150__rsma_50100,33.0,rema_50100150__rsma_50100_equity_concave
rsma_50100__rbo_50_equity_concave,123976.93329999998,1139.7693329999997,-102.94585938687074,rsma_50100__rbo_50,32.0,rsma_50100__rbo_50_equity_concave
rsma_50100150__rtt_5020_equity_concave,111099.33460000003,1010.9933460000002,-91.69397400072992,rsma_50100150__rtt_5020,16.0,rsma_50100150__rtt_5020_equity_concave
rsma_50100150__rbo_50_equity_concave,111099.33460000003,1010.9933460000002,-91.69397400072992,rsma_50100150__rbo_50,16.0,rsma_50100150__rbo_50_equity_concave
rbo_100__rtt_5020_equity_concave,108717.14520000009,987.1714520000008,-101.03091981563661,rbo_100__rtt_5020,9.0,rbo_100__rtt_5020_equity_concave
rema_50100__rbo_20_equity_concave,94401.00020000005,844.0100020000004,-97.90769271955236,rema_50100__rbo_20,64.0,rema_50100__rbo_20_equity_concave
rbo_100__rbo_50_equity_concave,92946.92229999999,829.4692229999999,-100.73970009252689,rbo_100__rbo_50,19.0,rbo_100__rbo_50_equity_concave
rema_100150__rbo_20_equity_convex,91502.97260000007,815.0297260000008,-89.07139329373001,rema_100150__rbo_20,48.0,rema_100150__rbo_20_equity_convex
rsma_50100__rtt_5020_equity_convex,88798.3631,787.983631,-97.97340790646604,rsma_50100__rtt_5020,22.0,rsma_50100__rtt_5020_equity_convex
rema_50100150__rtt_5020_equity_convex,87149.71729999999,771.4971729999999,-89.3332124885865,rema_50100150__rtt_5020,13.0,rema_50100150__rtt_5020_equity_convex
rsma_50100__rbo_50_equity_convex,84724.29919999996,747.2429919999996,-97.87561983831428,rsma_50100__rbo_50,32.0,rsma_50100__rbo_50_equity_convex
rema_50100150__rbo_20_equity_convex,84270.48000000001,742.7048000000001,-93.25346206643181,rema_50100150__rbo_20,51.0,rema_50100150__rbo_20_equity_convex
rema_50100150__rsma_50100_equity_convex,79175.75359999998,691.7575359999998,-92.20920464548834,rema_50100150__rsma_50100,33.0,rema_50100150__rsma_50100_equity_convex
rema_50100150__rbo_50_equity_convex,76152.73610000005,661.5273610000005,-87.74563190016126,rema_50100150__rbo_50,21.0,rema_50100150__rbo_50_equity_convex
rbo_100__rbo_50_equity_convex,69009.832,590.09832,-97.38627369592821,rbo_100__rbo_50,19.0,rbo_100__rbo_50_equity_convex
rsma_100150__rtt_5020_equity_concave,68083.34909999996,580.8334909999996,-89.41296698827756,rsma_100150__rtt_5020,22.0,rsma_100150__rtt_5020_equity_concave
rsma_50100150__rbo_50_equity_convex,67389.87120000001,573.898712,-86.12663036336944,rsma_50100150__rbo_50,16.0,rsma_50100150__rbo_50_equity_convex
rsma_50100150__rtt_5020_equity_convex,67389.87120000001,573.898712,-86.12663036336944,rsma_50100150__rtt_5020,16.0,rsma_50100150__rtt_5020_equity_convex
rbo_100__rtt_5020_equity_convex,66861.6565,568.6165649999999,-97.2966286796743,rbo_100__rtt_5020,9.0,rbo_100__rtt_5020_equity_convex
rbo_20__rtt_5020_equity_concave,63846.45120000001,538.4645120000001,-100.98841796577051,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020_equity_concave
rbo_20__rbo_50_equity_concave,61420.4917,514.204917,-101.0238475381956,rbo_20__rbo_50,22.0,rbo_20__rbo_50_equity_concave
rbo_20__rtt_5020_equity_convex,60718.28840000001,507.1828840000001,-101.03856567071865,rbo_20__rtt_5020,4.0,rbo_20__rtt_5020_equity_convex
rema_100150__rtt_5020_equity_concave,58716.704,487.16704000000004,-84.67073130944866,rema_100150__rtt_5020,20.0,rema_100150__rtt_5020_equity_concave
rsma_100150__rbo_50_equity_concave,56391.297299999984,463.91297299999985,-87.33552019398691,rsma_100150__rbo_50,40.0,rsma_100150__rbo_50_equity_concave
rema_100150__rbo_50_equity_concave,54103.01559999998,441.0301559999998,-84.6211079160245,rema_100150__rbo_50,30.0,rema_100150__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,54083.53130000004,440.8353130000004,-101.17402528350381,rtt_5020__rtt_5020,3.0,rtt_5020__rtt_5020_equity_concave
