combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,6,2,0,0,223,73,231,42.314990512333964,13.851992409867172,43.833017077798864,37.166666666666664,36.5,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,22,10,12,0,0,308,73,146,58.44402277039848,13.851992409867172,27.703984819734345,30.8,6.083333333333333,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,37,36,1,0,0,270,92,165,51.23339658444023,17.4573055028463,31.309297912713475,7.5,92.0,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,4,2,2,0,0,316,83,128,59.96204933586338,15.749525616698293,24.28842504743833,158.0,41.5,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,27,26,1,0,0,306,92,129,58.06451612903226,17.4573055028463,24.47817836812144,11.76923076923077,92.0,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,31,30,1,0,0,289,92,146,54.83870967741935,17.4573055028463,27.703984819734345,9.633333333333333,92.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,52,40,12,0,0,272,78,177,51.61290322580645,14.800759013282732,33.586337760910816,6.8,6.5,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,32,31,1,0,0,291,92,144,55.21821631878557,17.4573055028463,27.32447817836812,9.387096774193548,92.0,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,41,40,1,0,0,259,92,176,49.146110056926,17.4573055028463,33.396584440227706,6.475,92.0,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,27,15,12,0,0,285,78,164,54.079696394686906,14.800759013282732,31.119544592030362,19.0,6.5,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,60,51,9,0,0,252,61,214,47.81783681214421,11.57495256166983,40.60721062618596,4.9411764705882355,6.777777777777778,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,3,2,1,0,0,302,69,156,57.3055028462998,13.092979127134724,29.601518026565465,151.0,69.0,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,37,35,1,0,1,270,99,158,51.23339658444023,18.785578747628083,29.98102466793169,7.714285714285714,99.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,3,2,1,0,0,302,69,156,57.3055028462998,13.092979127134724,29.601518026565465,151.0,69.0,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,26,24,1,0,1,307,99,121,58.254269449715366,18.785578747628083,22.960151802656547,12.791666666666666,99.0,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,48,46,1,0,1,307,99,121,58.254269449715366,18.785578747628083,22.960151802656547,6.673913043478261,99.0,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,44,43,1,0,0,289,74,164,54.83870967741935,14.041745730550284,31.119544592030362,6.72093023255814,74.0,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,32,30,1,0,1,291,99,137,55.21821631878557,18.785578747628083,25.996204933586338,9.7,99.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,54,52,1,0,1,282,99,146,53.510436432637576,18.785578747628083,27.703984819734345,5.423076923076923,99.0,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,29,28,1,0,0,294,74,159,55.787476280834916,14.041745730550284,30.170777988614798,10.5,74.0,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,54,43,11,0,0,192,65,270,36.43263757115749,12.333965844402277,51.23339658444023,4.465116279069767,5.909090909090909,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,19,3,16,0,0,233,60,234,44.212523719165084,11.385199240986717,44.4022770398482,77.66666666666667,3.75,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,3,2,1,0,0,234,75,218,44.4022770398482,14.231499051233396,41.36622390891841,117.0,75.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,9,3,6,0,0,233,70,224,44.212523719165084,13.282732447817835,42.50474383301708,77.66666666666667,11.666666666666666,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,4,3,1,0,0,259,75,193,49.146110056926,14.231499051233396,36.62239089184061,86.33333333333333,75.0,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,22,21,1,0,0,265,75,187,50.284629981024665,14.231499051233396,35.483870967741936,12.619047619047619,75.0,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,35,22,13,0,0,240,62,225,45.54079696394687,11.76470588235294,42.69449715370019,10.909090909090908,4.769230769230769,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,6,5,1,0,0,247,75,205,46.86907020872865,14.231499051233396,38.89943074003795,49.4,75.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,29,28,1,0,0,237,75,215,44.97153700189753,14.231499051233396,40.79696394686907,8.464285714285714,75.0,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,39,26,13,0,0,226,62,239,42.8842504743833,11.76470588235294,45.35104364326376,8.692307692307692,4.769230769230769,True,
