combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,4,4,0,0,127,117,283,24.09867172675522,22.2011385199241,53.70018975332068,31.75,29.25,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,21,16,5,0,0,140,161,226,26.56546489563567,30.55028462998102,42.8842504743833,8.75,32.2,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,17,15,2,0,0,201,173,153,38.1404174573055,32.82732447817837,29.03225806451613,13.4,86.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,154,163,210,29.22201138519924,30.929791271347252,39.84819734345351,51.333333333333336,54.333333333333336,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,38,29,8,0,1,175,167,185,33.206831119544596,31.688804554079695,35.10436432637571,6.0344827586206895,20.875,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,39,31,7,0,1,200,168,159,37.95066413662239,31.87855787476281,30.170777988614798,6.451612903225806,24.0,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,65,27,37,0,1,159,95,273,30.170777988614798,18.026565464895636,51.802656546489565,5.888888888888889,2.5675675675675675,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,20,17,2,0,1,190,173,164,36.05313092979127,32.82732447817837,31.119544592030362,11.176470588235293,86.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,32,29,2,0,1,209,173,145,39.658444022770404,32.82732447817837,27.514231499051235,7.206896551724138,86.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,57,14,42,0,1,193,90,244,36.62239089184061,17.077798861480076,46.29981024667932,13.785714285714286,2.142857142857143,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,44,16,28,0,0,111,138,278,21.062618595825427,26.185958254269448,52.75142314990512,6.9375,4.928571428571429,True,
rbo_50__rbo_50,rbo_50,rbo_50,rrg,rbo_50__rbo_50,5,2,3,0,0,125,166,236,23.719165085388994,31.499051233396585,44.78178368121442,62.5,55.333333333333336,True,
rbo_50__rbo_100,rbo_50,rbo_100,rrg,rbo_50__rbo_100,5,3,2,0,0,190,178,159,36.05313092979127,33.776091081593925,30.170777988614798,63.333333333333336,89.0,True,
rbo_50__rtt_5020,rbo_50,rtt_5020,rrg,rbo_50__rtt_5020,5,2,3,0,0,125,166,236,23.719165085388994,31.499051233396585,44.78178368121442,62.5,55.333333333333336,True,
rbo_50__rsma_50100,rbo_50,rsma_50100,rrg,rbo_50__rsma_50100,27,18,8,0,1,163,172,192,30.929791271347252,32.63757115749525,36.43263757115749,9.055555555555555,21.5,True,
rbo_50__rsma_100150,rbo_50,rsma_100150,rrg,rbo_50__rsma_100150,51,39,10,1,1,210,169,148,39.84819734345351,32.06831119544592,28.083491461100568,5.384615384615385,16.9,True,
rbo_50__rsma_50100150,rbo_50,rsma_50100150,rrg,rbo_50__rsma_50100150,78,24,53,0,1,157,116,254,29.79127134724858,22.011385199240987,48.19734345351044,6.541666666666667,2.188679245283019,True,
rbo_50__rema_50100,rbo_50,rema_50100,rrg,rbo_50__rema_50100,10,7,2,0,1,177,178,172,33.586337760910816,33.776091081593925,32.63757115749525,25.285714285714285,89.0,True,
rbo_50__rema_100150,rbo_50,rema_100150,rrg,rbo_50__rema_100150,23,17,4,1,1,198,175,154,37.571157495256166,33.206831119544596,29.22201138519924,11.647058823529411,43.75,True,
rbo_50__rema_50100150,rbo_50,rema_50100150,rrg,rbo_50__rema_50100150,72,12,59,0,1,172,110,245,32.63757115749525,20.872865275142317,46.48956356736243,14.333333333333334,1.8644067796610169,True,
rbo_100__rbo_20,rbo_100,rbo_20,rrg,rbo_100__rbo_20,79,46,33,0,0,142,144,241,26.944971537001898,27.32447817836812,45.73055028462998,3.0869565217391304,4.363636363636363,True,
rbo_100__rbo_50,rbo_100,rbo_50,rrg,rbo_100__rbo_50,43,35,8,0,0,155,169,203,29.411764705882355,32.06831119544592,38.51992409867172,4.428571428571429,21.125,True,
rbo_100__rbo_100,rbo_100,rbo_100,rrg,rbo_100__rbo_100,4,2,2,0,0,188,176,163,35.673624288425046,33.396584440227706,30.929791271347252,94.0,88.0,True,
rbo_100__rtt_5020,rbo_100,rtt_5020,rrg,rbo_100__rtt_5020,39,32,7,0,0,157,170,200,29.79127134724858,32.25806451612903,37.95066413662239,4.90625,24.285714285714285,True,
rbo_100__rsma_50100,rbo_100,rsma_50100,rrg,rbo_100__rsma_50100,31,22,8,0,1,168,170,189,31.87855787476281,32.25806451612903,35.86337760910816,7.636363636363637,21.25,True,
rbo_100__rsma_100150,rbo_100,rsma_100150,rrg,rbo_100__rsma_100150,50,38,10,1,1,209,167,151,39.658444022770404,31.688804554079695,28.6527514231499,5.5,16.7,True,
rbo_100__rsma_50100150,rbo_100,rsma_50100150,rrg,rbo_100__rsma_50100150,89,30,58,0,1,160,119,248,30.36053130929791,22.58064516129032,47.05882352941176,5.333333333333333,2.0517241379310347,True,
rbo_100__rema_50100,rbo_100,rema_50100,rrg,rbo_100__rema_50100,14,11,2,0,1,178,176,173,33.776091081593925,33.396584440227706,32.82732447817837,16.181818181818183,88.0,True,
rbo_100__rema_100150,rbo_100,rema_100150,rrg,rbo_100__rema_100150,23,17,4,1,1,195,173,159,37.00189753320683,32.82732447817837,30.170777988614798,11.470588235294118,43.25,True,
rbo_100__rema_50100150,rbo_100,rema_50100150,rrg,rbo_100__rema_50100150,81,16,64,0,1,173,113,241,32.82732447817837,21.44212523719165,45.73055028462998,10.8125,1.765625,True,
rtt_5020__rbo_20,rtt_5020,rbo_20,rrg,rtt_5020__rbo_20,7,3,4,0,0,98,113,316,18.59582542694497,21.44212523719165,59.96204933586338,32.666666666666664,28.25,True,
rtt_5020__rbo_50,rtt_5020,rbo_50,rrg,rtt_5020__rbo_50,5,2,3,0,0,125,159,243,23.719165085388994,30.170777988614798,46.110056925996204,62.5,53.0,True,
rtt_5020__rbo_100,rtt_5020,rbo_100,rrg,rtt_5020__rbo_100,5,3,2,0,0,190,171,166,36.05313092979127,32.44781783681214,31.499051233396585,63.333333333333336,85.5,True,
rtt_5020__rtt_5020,rtt_5020,rtt_5020,rrg,rtt_5020__rtt_5020,5,2,3,0,0,125,159,243,23.719165085388994,30.170777988614798,46.110056925996204,62.5,53.0,True,
rtt_5020__rsma_50100,rtt_5020,rsma_50100,rrg,rtt_5020__rsma_50100,27,18,8,0,1,163,165,199,30.929791271347252,31.309297912713475,37.76091081593928,9.055555555555555,20.625,True,
rtt_5020__rsma_100150,rtt_5020,rsma_100150,rrg,rtt_5020__rsma_100150,39,31,7,0,1,200,166,161,37.95066413662239,31.499051233396585,30.55028462998102,6.451612903225806,23.714285714285715,True,
rtt_5020__rsma_50100150,rtt_5020,rsma_50100150,rrg,rtt_5020__rsma_50100150,53,16,36,0,1,147,92,288,27.893738140417458,17.4573055028463,54.64895635673624,9.1875,2.5555555555555554,True,
rtt_5020__rema_50100,rtt_5020,rema_50100,rrg,rtt_5020__rema_50100,10,7,2,0,1,177,171,179,33.586337760910816,32.44781783681214,33.96584440227704,25.285714285714285,85.5,True,
rtt_5020__rema_100150,rtt_5020,rema_100150,rrg,rtt_5020__rema_100150,20,17,2,0,1,198,171,158,37.571157495256166,32.44781783681214,29.98102466793169,11.647058823529411,85.5,True,
rtt_5020__rema_50100150,rtt_5020,rema_50100150,rrg,rtt_5020__rema_50100150,54,12,41,0,1,172,87,268,32.63757115749525,16.508538899430743,50.853889943074,14.333333333333334,2.1219512195121952,True,
rsma_50100__rbo_20,rsma_50100,rbo_20,rrg,rsma_50100__rbo_20,73,40,33,0,0,105,147,275,19.924098671726757,27.893738140417458,52.18216318785579,2.625,4.454545454545454,True,
rsma_50100__rbo_50,rsma_50100,rbo_50,rrg,rsma_50100__rbo_50,37,29,8,0,0,117,172,238,22.2011385199241,32.63757115749525,45.16129032258064,4.0344827586206895,21.5,True,
rsma_50100__rbo_100,rsma_50100,rbo_100,rrg,rsma_50100__rbo_100,4,2,2,0,0,157,179,191,29.79127134724858,33.96584440227704,36.24288425047438,78.5,89.5,True,
rsma_50100__rtt_5020,rsma_50100,rtt_5020,rrg,rsma_50100__rtt_5020,33,26,7,0,0,119,173,235,22.58064516129032,32.82732447817837,44.59203036053131,4.576923076923077,24.714285714285715,True,
rsma_50100__rsma_50100,rsma_50100,rsma_50100,rrg,rsma_50100__rsma_50100,5,2,3,0,0,145,167,215,27.514231499051235,31.688804554079695,40.79696394686907,72.5,55.666666666666664,True,
rsma_50100__rsma_100150,rsma_50100,rsma_100150,rrg,rsma_50100__rsma_100150,34,23,10,1,0,193,170,164,36.62239089184061,32.25806451612903,31.119544592030362,8.391304347826088,17.0,True,
rsma_50100__rsma_50100150,rsma_50100,rsma_50100150,rrg,rsma_50100__rsma_50100150,81,23,58,0,0,124,122,281,23.52941176470588,23.14990512333966,53.32068311195446,5.391304347826087,2.103448275862069,True,
rsma_50100__rema_50100,rsma_50100,rema_50100,rrg,rsma_50100__rema_50100,4,2,2,0,0,148,179,200,28.083491461100568,33.96584440227704,37.95066413662239,74.0,89.5,True,
rsma_50100__rema_100150,rsma_50100,rema_100150,rrg,rsma_50100__rema_100150,12,7,4,1,0,174,176,177,33.017077798861486,33.396584440227706,33.586337760910816,24.857142857142858,44.0,True,
rsma_50100__rema_50100150,rsma_50100,rema_50100150,rrg,rsma_50100__rema_50100150,71,7,64,0,0,143,116,268,27.13472485768501,22.011385199240987,50.853889943074,20.428571428571427,1.8125,True,
rsma_100150__rbo_20,rsma_100150,rbo_20,rrg,rsma_100150__rbo_20,77,54,23,0,0,155,90,282,29.411764705882355,17.077798861480076,53.510436432637576,2.8703703703703702,3.9130434782608696,True,
rsma_100150__rbo_50,rsma_100150,rbo_50,rrg,rsma_100150__rbo_50,70,63,7,0,0,163,107,257,30.929791271347252,20.30360531309298,48.76660341555977,2.5873015873015874,15.285714285714286,True,
rsma_100150__rbo_100,rsma_100150,rbo_100,rrg,rsma_100150__rbo_100,31,30,1,0,0,165,113,249,31.309297912713475,21.44212523719165,47.24857685009488,5.5,113.0,True,
rsma_100150__rtt_5020,rsma_100150,rtt_5020,rrg,rsma_100150__rtt_5020,55,49,6,0,0,177,108,242,33.586337760910816,20.49335863377609,45.920303605313094,3.6122448979591835,18.0,True,
rsma_100150__rsma_50100,rsma_100150,rsma_50100,rrg,rsma_100150__rsma_50100,37,36,1,0,0,159,113,255,30.170777988614798,21.44212523719165,48.38709677419355,4.416666666666667,113.0,True,
rsma_100150__rsma_100150,rsma_100150,rsma_100150,rrg,rsma_100150__rsma_100150,4,3,1,0,0,170,113,244,32.25806451612903,21.44212523719165,46.29981024667932,56.666666666666664,113.0,True,
rsma_100150__rsma_50100150,rsma_100150,rsma_50100150,rrg,rsma_100150__rsma_50100150,94,37,57,0,0,147,57,323,27.893738140417458,10.815939278937382,61.29032258064516,3.972972972972973,1.0,True,
rsma_100150__rema_50100,rsma_100150,rema_50100,rrg,rsma_100150__rema_50100,34,33,1,0,0,193,113,221,36.62239089184061,21.44212523719165,41.935483870967744,5.848484848484849,113.0,True,
rsma_100150__rema_100150,rsma_100150,rema_100150,rrg,rsma_100150__rema_100150,24,23,1,0,0,148,113,266,28.083491461100568,21.44212523719165,50.47438330170778,6.434782608695652,113.0,True,
rsma_100150__rema_50100150,rsma_100150,rema_50100150,rrg,rsma_100150__rema_50100150,80,23,57,0,0,149,57,321,28.27324478178368,10.815939278937382,60.91081593927894,6.478260869565218,1.0,True,
rsma_50100150__rbo_20,rsma_50100150,rbo_20,rrg,rsma_50100150__rbo_20,35,31,4,0,0,130,35,362,24.667931688804554,6.641366223908918,68.69070208728652,4.193548387096774,8.75,True,
rsma_50100150__rbo_50,rsma_50100150,rbo_50,rrg,rsma_50100150__rbo_50,30,29,1,0,0,150,53,324,28.46299810246679,10.056925996204933,61.48007590132827,5.172413793103448,53.0,True,
rsma_50100150__rbo_100,rsma_50100150,rbo_100,rrg,rsma_50100150__rbo_100,4,3,1,0,0,189,131,207,35.86337760910816,24.857685009487664,39.27893738140417,63.0,131.0,True,
rsma_50100150__rtt_5020,rsma_50100150,rtt_5020,rrg,rsma_50100150__rtt_5020,27,26,1,0,0,152,53,322,28.842504743833018,10.056925996204933,61.10056925996204,5.846153846153846,53.0,True,
rsma_50100150__rsma_50100,rsma_50100150,rsma_50100,rrg,rsma_50100150__rsma_50100,19,18,1,0,0,143,131,253,27.13472485768501,24.857685009487664,48.007590132827325,7.944444444444445,131.0,True,
rsma_50100150__rsma_100150,rsma_50100150,rsma_100150,rrg,rsma_50100150__rsma_100150,29,20,8,1,0,187,9,331,35.483870967741936,1.7077798861480076,62.808349146110054,9.35,1.125,True,
rsma_50100150__rsma_50100150,rsma_50100150,rsma_50100150,rrg,rsma_50100150__rsma_50100150,6,5,1,0,0,134,18,375,25.426944971537,3.415559772296015,71.15749525616698,26.8,18.0,True,
rsma_50100150__rema_50100,rsma_50100150,rema_50100,rrg,rsma_50100150__rema_50100,8,7,1,0,0,176,131,220,33.396584440227706,24.857685009487664,41.745730550284634,25.142857142857142,131.0,True,
rsma_50100150__rema_100150,rsma_50100150,rema_100150,rrg,rsma_50100150__rema_100150,21,17,3,1,0,173,128,226,32.82732447817837,24.28842504743833,42.8842504743833,10.176470588235293,42.666666666666664,True,
rsma_50100150__rema_50100150,rsma_50100150,rema_50100150,rrg,rsma_50100150__rema_50100150,19,12,7,0,0,146,12,369,27.703984819734345,2.2770398481973433,70.01897533206831,12.166666666666666,1.7142857142857142,True,
rema_50100__rbo_20,rema_50100,rbo_20,rrg,rema_50100__rbo_20,75,42,33,0,0,132,147,248,25.047438330170777,27.893738140417458,47.05882352941176,3.142857142857143,4.454545454545454,True,
rema_50100__rbo_50,rema_50100,rbo_50,rrg,rema_50100__rbo_50,40,32,8,0,0,143,172,212,27.13472485768501,32.63757115749525,40.22770398481973,4.46875,21.5,True,
rema_50100__rbo_100,rema_50100,rbo_100,rrg,rema_50100__rbo_100,6,4,2,0,0,180,179,168,34.15559772296015,33.96584440227704,31.87855787476281,45.0,89.5,True,
rema_50100__rtt_5020,rema_50100,rtt_5020,rrg,rema_50100__rtt_5020,35,28,7,0,0,146,173,208,27.703984819734345,32.82732447817837,39.46869070208729,5.214285714285714,24.714285714285715,True,
rema_50100__rsma_50100,rema_50100,rsma_50100,rrg,rema_50100__rsma_50100,24,16,8,0,0,160,173,194,30.36053130929791,32.82732447817837,36.81214421252372,10.0,21.625,True,
rema_50100__rsma_100150,rema_50100,rsma_100150,rrg,rema_50100__rsma_100150,46,35,10,1,0,203,170,154,38.51992409867172,32.25806451612903,29.22201138519924,5.8,17.0,True,
rema_50100__rsma_50100150,rema_50100,rsma_50100150,rrg,rema_50100__rsma_50100150,86,28,58,0,0,148,122,257,28.083491461100568,23.14990512333966,48.76660341555977,5.285714285714286,2.103448275862069,True,
rema_50100__rema_50100,rema_50100,rema_50100,rrg,rema_50100__rema_50100,4,2,2,0,0,173,179,175,32.82732447817837,33.96584440227704,33.206831119544596,86.5,89.5,True,
rema_50100__rema_100150,rema_50100,rema_100150,rrg,rema_50100__rema_100150,19,14,4,1,0,192,176,159,36.43263757115749,33.396584440227706,30.170777988614798,13.714285714285714,44.0,True,
rema_50100__rema_50100150,rema_50100,rema_50100150,rrg,rema_50100__rema_50100150,78,14,64,0,0,161,116,250,30.55028462998102,22.011385199240987,47.43833017077799,11.5,1.8125,True,
rema_100150__rbo_20,rema_100150,rbo_20,rrg,rema_100150__rbo_20,81,58,23,0,0,123,102,302,23.33965844402277,19.35483870967742,57.3055028462998,2.1206896551724137,4.434782608695652,True,
rema_100150__rbo_50,rema_100150,rbo_50,rrg,rema_100150__rbo_50,53,46,7,0,0,134,119,274,25.426944971537,22.58064516129032,51.992409867172675,2.9130434782608696,17.0,True,
rema_100150__rbo_100,rema_100150,rbo_100,rrg,rema_100150__rbo_100,14,13,1,0,0,166,125,236,31.499051233396585,23.719165085388994,44.78178368121442,12.76923076923077,125.0,True,
rema_100150__rtt_5020,rema_100150,rtt_5020,rrg,rema_100150__rtt_5020,50,44,6,0,0,137,120,270,25.996204933586338,22.770398481973434,51.23339658444023,3.1136363636363638,20.0,True,
rema_100150__rsma_50100,rema_100150,rsma_50100,rrg,rema_100150__rsma_50100,24,23,1,0,0,156,125,246,29.601518026565465,23.719165085388994,46.67931688804554,6.782608695652174,125.0,True,
rema_100150__rsma_100150,rema_100150,rsma_100150,rrg,rema_100150__rsma_100150,35,28,7,0,0,188,119,220,35.673624288425046,22.58064516129032,41.745730550284634,6.714285714285714,17.0,True,
