equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal
rbo_50__rsma_100150_equity_concave,21030.94150000016,110.3094150000016,-102.61602016292481,rbo_50__rsma_100150,29.0,rbo_50__rsma_100150_equity_concave
rbo_100__rsma_100150_equity_concave,19986.81230000014,99.8681230000014,-102.61554575924188,rbo_100__rsma_100150,26.0,rbo_100__rsma_100150_equity_concave
rtt_5020__rsma_100150_equity_concave,19607.433700000176,96.07433700000176,-102.61602016292481,rtt_5020__rsma_100150,26.0,rtt_5020__rsma_100150_equity_concave
rbo_50__rsma_100150_equity_convex,19243.05900000005,92.43059000000049,-101.79104797844349,rbo_50__rsma_100150,29.0,rbo_50__rsma_100150_equity_convex
rbo_100__rsma_100150_equity_convex,18052.107300000196,80.52107300000195,-101.79620656511965,rbo_100__rsma_100150,26.0,rbo_100__rsma_100150_equity_convex
rtt_5020__rsma_100150_equity_convex,17940.398900000062,79.40398900000064,-101.79104797844349,rtt_5020__rsma_100150,26.0,rtt_5020__rsma_100150_equity_convex
rbo_100__rbo_20_equity_convex,16794.298799999946,67.94298799999945,-87.81496264837388,rbo_100__rbo_20,65.0,rbo_100__rbo_20_equity_convex
rbo_100__rbo_20_equity_concave,16788.733700000008,67.88733700000007,-88.84493686583086,rbo_100__rbo_20,65.0,rbo_100__rbo_20_equity_concave
rema_50100__rsma_100150_equity_convex,15556.171000000193,55.56171000000194,-102.55940766811071,rema_50100__rsma_100150,16.0,rema_50100__rsma_100150_equity_convex
rema_50100__rsma_100150_equity_concave,15290.545000000146,52.905450000001466,-102.62634734522447,rema_50100__rsma_100150,16.0,rema_50100__rsma_100150_equity_concave
rtt_5020__rbo_50_equity_convex,14555.125199999982,45.551251999999835,-108.63199808924739,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50_equity_convex
rtt_5020__rtt_5020_equity_convex,14555.125199999982,45.551251999999835,-108.63199808924739,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020_equity_convex
rbo_50__rtt_5020_equity_convex,14555.125199999982,45.551251999999835,-108.63199808924739,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_convex
rbo_50__rbo_50_equity_convex,14555.125199999982,45.551251999999835,-108.63199808924739,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_convex
rbo_50__rbo_50_equity_concave,13995.075,39.95075000000001,-108.46597601788643,rbo_50__rbo_50,5.0,rbo_50__rbo_50_equity_concave
rbo_50__rtt_5020_equity_concave,13995.075,39.95075000000001,-108.46597601788643,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020_equity_concave
rtt_5020__rbo_50_equity_concave,13995.075,39.95075000000001,-108.46597601788643,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50_equity_concave
rtt_5020__rtt_5020_equity_concave,13995.075,39.95075000000001,-108.46597601788643,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020_equity_concave
rtt_5020__rema_100150_equity_convex,13923.720100000099,39.23720100000099,-107.39568206417604,rtt_5020__rema_100150,36.0,rtt_5020__rema_100150_equity_convex
rtt_5020__rema_100150_equity_concave,13698.12070000014,36.981207000001405,-106.5622373704614,rtt_5020__rema_100150,36.0,rtt_5020__rema_100150_equity_concave
rbo_20__rsma_100150_equity_concave,13663.499900000099,36.63499900000098,-102.88659116099443,rbo_20__rsma_100150,28.0,rbo_20__rsma_100150_equity_concave
rtt_5020__rema_50100150_equity_convex,13419.443899999973,34.19443899999972,-107.38648779457252,rtt_5020__rema_50100150,37.0,rtt_5020__rema_50100150_equity_convex
rbo_50__rema_100150_equity_convex,13337.725700000072,33.37725700000072,-107.39568206417604,rbo_50__rema_100150,45.0,rbo_50__rema_100150_equity_convex
rbo_50__rema_50100150_equity_convex,13247.568999999994,32.47568999999994,-107.38648779457252,rbo_50__rema_50100150,56.0,rbo_50__rema_50100150_equity_convex
rsma_50100__rsma_100150_equity_convex,13092.179400000137,30.92179400000137,-103.04251655127513,rsma_50100__rsma_100150,15.0,rsma_50100__rsma_100150_equity_convex
rsma_50100__rsma_100150_equity_concave,12864.007400000131,28.640074000001302,-102.7479340120664,rsma_50100__rsma_100150,15.0,rsma_50100__rsma_100150_equity_concave
rbo_20__rsma_100150_equity_convex,12534.469500000085,25.34469500000085,-103.35095639618996,rbo_20__rsma_100150,28.0,rbo_20__rsma_100150_equity_convex
rema_100150__rbo_100_equity_constant,12442.509100000003,24.42509100000003,-35.88476081243967,rema_100150__rbo_100,11.0,rema_100150__rbo_100_equity_constant
rbo_50__rema_100150_equity_concave,12203.121600000119,22.031216000001198,-106.5622373704614,rbo_50__rema_100150,45.0,rbo_50__rema_100150_equity_concave
rema_100150__rema_100150_equity_constant,12105.685300000006,21.056853000000064,-34.643270669957694,rema_100150__rema_100150,3.0,rema_100150__rema_100150_equity_constant
rema_100150__rsma_50100150_equity_constant,12071.853899999996,20.718538999999957,-29.27430015943105,rema_100150__rsma_50100150,32.0,rema_100150__rsma_50100150_equity_constant
