combination_name,entry_signal,exit_signal,direction_signal,output_column,total_trades,long_trades,short_trades,long_to_short_flips,short_to_long_flips,long_bars,short_bars,flat_bars,long_pct,short_pct,flat_pct,avg_bars_per_long_trade,avg_bars_per_short_trade,success,error
rbo_20__rbo_20,rbo_20,rbo_20,rrg,rbo_20__rbo_20,8,5,3,0,0,158,44,329,29.75517890772128,8.286252354048965,61.95856873822976,31.6,14.666666666666666,True,
rbo_20__rbo_50,rbo_20,rbo_50,rrg,rbo_20__rbo_50,33,25,8,0,0,173,64,294,32.580037664783426,12.052730696798493,55.367231638418076,6.92,8.0,True,
rbo_20__rbo_100,rbo_20,rbo_100,rrg,rbo_20__rbo_100,22,20,2,0,0,201,83,247,37.85310734463277,15.630885122410545,46.516007532956685,10.05,41.5,True,
rbo_20__rtt_5020,rbo_20,rtt_5020,rrg,rbo_20__rtt_5020,6,3,3,0,0,195,69,267,36.72316384180791,12.994350282485875,50.282485875706215,65.0,23.0,True,
rbo_20__rsma_50100,rbo_20,rsma_50100,rrg,rbo_20__rsma_50100,54,43,10,1,0,168,75,288,31.63841807909605,14.124293785310735,54.23728813559322,3.9069767441860463,7.5,True,
rbo_20__rsma_100150,rbo_20,rsma_100150,rrg,rbo_20__rsma_100150,21,19,2,0,0,197,83,251,37.09981167608286,15.630885122410545,47.26930320150659,10.368421052631579,41.5,True,
rbo_20__rsma_50100150,rbo_20,rsma_50100150,rrg,rbo_20__rsma_50100150,49,34,15,0,0,183,31,317,34.463276836158194,5.83804143126177,59.69868173258004,5.382352941176471,2.066666666666667,True,
rbo_20__rema_50100,rbo_20,rema_50100,rrg,rbo_20__rema_50100,27,25,2,0,0,199,83,249,37.47645951035782,15.630885122410545,46.89265536723164,7.96,41.5,True,
rbo_20__rema_100150,rbo_20,rema_100150,rrg,rbo_20__rema_100150,32,30,2,0,0,203,83,245,38.22975517890772,15.630885122410545,46.13935969868173,6.766666666666667,41.5,True,
rbo_20__rema_50100150,rbo_20,rema_50100150,rrg,rbo_20__rema_50100150,40,17,22,1,0,207,23,301,38.983050847457626,4.3314500941619585,56.685499058380415,12.176470588235293,1.0454545454545454,True,
rbo_50__rbo_20,rbo_50,rbo_20,rrg,rbo_50__rbo_20,42,27,15,0,0,136,46,349,25.6120527306968,8.662900188323917,65.72504708097928,5.037037037037037,3.066666666666667,True,
