equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rsma_50100150__rbo_50_equity_concave,30402.48700000007,204.0248700000007,-75.71532878948356,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50,AAPL
rsma_50100150__rbo_50_equity_convex,26858.93160000003,168.5893160000003,-69.87794637248497,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50,AAPL
rsma_50100150__rsma_50100150_equity_concave,25443.06800000003,154.43068000000028,-92.11755653968028,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150,AAPL
rsma_50100150__rsma_50100150_equity_convex,23940.562600000016,139.40562600000015,-85.6781042753375,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150,AAPL
rsma_50100150__rbo_20_equity_convex,18039.6534,80.39653399999995,-58.56302762188991,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20,AAPL
rsma_50100150__rbo_20_equity_concave,16591.9464,65.91946400000002,-59.07428538187535,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20,AAPL
rsma_50100150__rbo_100_equity_convex,14394.182000000012,43.94182000000011,-62.23827782826388,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100,AAPL
rsma_50100150__rbo_100_equity_concave,14365.611800000011,43.65611800000013,-62.27630080394931,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100,AAPL
rsma_50100150__rtt_5020_equity_convex,12699.638100000004,26.996381000000035,-70.65141029720287,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020,AAPL
rsma_50100150__rtt_5020_equity_concave,12385.84850000001,23.85848500000009,-71.69999234648213,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020,AAPL
rsma_50100150__rema_50100150_equity_convex,12378.389400000013,23.78389400000012,-62.222306088702695,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150,AAPL
rbo_100__rbo_20_equity_convex,12150.104099999982,21.50104099999983,-61.64484484512034,rbo_100__rbo_20,35.0,rbo_100__rbo_20,AAPL
rbo_100__rbo_20_equity_concave,11879.199299999984,18.791992999999827,-62.977763262609166,rbo_100__rbo_20,35.0,rbo_100__rbo_20,AAPL
rsma_50100150__rsma_50100150_equity_constant,11715.873700000004,17.158737000000034,-19.292048730364687,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150,AAPL
rsma_50100150__rbo_20_equity_constant,11688.494700000005,16.88494700000005,-16.673112001453354,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20,AAPL
rbo_100__rbo_100_equity_convex,11625.967200000016,16.259672000000158,-67.86156864667304,rbo_100__rbo_100,4.0,rbo_100__rbo_100,AAPL
rsma_50100150__rbo_50_equity_constant,11602.8718,16.028717999999987,-16.82009546640822,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50,AAPL
rbo_100__rbo_100_equity_concave,11598.01640000002,15.980164000000196,-67.89707831693416,rbo_100__rbo_100,4.0,rbo_100__rbo_100,AAPL
rsma_50100150__rtt_5020_equity_constant,11357.315500000006,13.573155000000073,-16.293236488705418,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020,AAPL
rbo_100__rsma_50100150_equity_convex,11126.04000000001,11.260400000000104,-66.59436702127282,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150,AAPL
rsma_50100150__rbo_100_equity_constant,10995.982000000007,9.959820000000065,-13.631791636005264,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100,AAPL
rbo_100__rsma_50100150_equity_concave,10688.42550000003,6.8842550000002944,-67.91701359674764,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150,AAPL
rbo_100__rsma_50100150_equity_constant,10637.755200000003,6.377552000000031,-12.612451586130684,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150,AAPL
rtt_5020__rsma_50100150_equity_constant,10547.579999999996,5.475799999999964,-11.799884499839184,rtt_5020__rsma_50100150,64.0,rtt_5020__rsma_50100150,AAPL
rbo_20__rtt_5020_equity_constant,10530.1503,5.301502999999985,-17.45351112991401,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020,AAPL
rbo_20__rsma_50100150_equity_constant,10491.8267,4.918267000000021,-13.69079775293981,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150,AAPL
rbo_100__rbo_20_equity_constant,10455.103400000004,4.551034000000054,-13.000023236505598,rbo_100__rbo_20,35.0,rbo_100__rbo_20,AAPL
rsma_50100150__rema_50100150_equity_constant,10447.5513,4.47551300000002,-11.793866570634894,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150,AAPL
rbo_100__rbo_100_equity_constant,10430.843000000004,4.308430000000052,-16.345959384955787,rbo_100__rbo_100,4.0,rbo_100__rbo_100,AAPL
rbo_50__rsma_50100150_equity_constant,10428.2497,4.282497000000007,-12.277506813670156,rbo_50__rsma_50100150,73.0,rbo_50__rsma_50100150,AAPL
rbo_20__rbo_100_equity_constant,10408.6557,4.086557000000002,-16.02430488998853,rbo_20__rbo_100,25.0,rbo_20__rbo_100,AAPL
rbo_20__rbo_20_equity_constant,10381.266799999992,3.81266799999993,-14.305665684117104,rbo_20__rbo_20,7.0,rbo_20__rbo_20,AAPL
rbo_50__rbo_100_equity_constant,10342.058199999992,3.420581999999928,-16.599506277509033,rbo_50__rbo_100,21.0,rbo_50__rbo_100,AAPL
rbo_20_equity_equal,10205.19350000002,2.051935000000205,-2.643129376990345,rbo_20,,rbo_20,AAPL
rbo_100__rtt_5020_equity_constant,10204.294200000011,2.042942000000103,-14.52100535422709,rbo_100__rtt_5020,18.0,rbo_100__rtt_5020,AAPL
rrg_equity_equal,10190.849500000017,1.9084950000001653,-2.241061087184584,rrg,,rrg,AAPL
rsma_50100150__rbo_20_equity_equal,10166.804599999994,1.6680459999999453,-1.809597084813296,rsma_50100150__rbo_20,30.0,rsma_50100150__rbo_20,AAPL
rsma_50100150__rsma_50100150_equity_equal,10163.201699999996,1.6320169999999523,-1.987324402308928,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150,AAPL
rsma_50100150__rbo_50_equity_equal,10158.695999999993,1.5869599999999373,-2.0462623973038974,rsma_50100150__rbo_50,22.0,rsma_50100150__rbo_50,AAPL
rsma_50100150__rbo_100_equity_equal,10137.629299999997,1.376292999999973,-1.8664854274285811,rsma_50100150__rbo_100,22.0,rsma_50100150__rbo_100,AAPL
rsma_50100150__rtt_5020_equity_equal,10128.6313,1.2863130000000167,-1.843457913607459,rsma_50100150__rtt_5020,18.0,rsma_50100150__rtt_5020,AAPL
rbo_100__rbo_20_equity_equal,10108.86819999999,1.0886819999998965,-1.81013620307064,rbo_100__rbo_20,35.0,rbo_100__rbo_20,AAPL
rtt_5020__rsma_50100150_equity_equal,10082.815099999996,0.8281509999999548,-1.5030927281863968,rtt_5020__rsma_50100150,64.0,rtt_5020__rsma_50100150,AAPL
rbo_20__rema_50100150_equity_constant,10081.223700000002,0.8122370000000156,-15.035486887881676,rbo_20__rema_50100150,65.0,rbo_20__rema_50100150,AAPL
rbo_20__rbo_20_equity_equal,10078.697599999996,0.7869759999999504,-1.6933167675894776,rbo_20__rbo_20,7.0,rbo_20__rbo_20,AAPL
rbo_20__rbo_100_equity_equal,10077.172099999983,0.7717209999998254,-1.880010813548345,rbo_20__rbo_100,25.0,rbo_20__rbo_100,AAPL
rbo_20__rtt_5020_equity_equal,10076.327700000003,0.7632770000000288,-2.1773174587321478,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020,AAPL
rbo_100__rbo_100_equity_equal,10075.358999999997,0.7535899999999485,-1.8731206097193756,rbo_100__rbo_100,4.0,rbo_100__rbo_100,AAPL
rbo_20__rsma_50100150_equity_equal,10069.9202,0.6992019999999988,-1.625383778442392,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150,AAPL
rbo_50__rbo_100_equity_equal,10064.334099999984,0.643340999999853,-2.105007031291222,rbo_50__rbo_100,21.0,rbo_50__rbo_100,AAPL
rbo_50__rsma_50100150_equity_equal,10061.995199999998,0.6199519999999792,-1.4368278514981971,rbo_50__rsma_50100150,73.0,rbo_50__rsma_50100150,AAPL
rbo_100__rtt_5020_equity_equal,10057.344199999989,0.5734419999998908,-1.875704442757698,rbo_100__rtt_5020,18.0,rbo_100__rtt_5020,AAPL
rsma_50100150__rema_50100150_equity_equal,10046.338599999992,0.4633859999999101,-1.102077895781283,rsma_50100150__rema_50100150,20.0,rsma_50100150__rema_50100150,AAPL
rtt_5020__rbo_100_equity_equal,10039.182499999986,0.3918249999998568,-1.8871110269143043,rtt_5020__rbo_100,17.0,rtt_5020__rbo_100,AAPL
rbo_100__rsma_50100150_equity_equal,10027.248000000003,0.2724800000000416,-1.2731217414188332,rbo_100__rsma_50100150,73.0,rbo_100__rsma_50100150,AAPL
rtt_5020__rbo_100_equity_constant,10006.839799999992,0.068397999999914,-13.779838331985117,rtt_5020__rbo_100,17.0,rtt_5020__rbo_100,AAPL
rbo_50__rbo_20_equity_equal,10006.135699999986,0.0613569999998508,-2.07244291337886,rbo_50__rbo_20,26.0,rbo_50__rbo_20,AAPL
rema_50100150__rbo_100_equity_equal,10001.675199999994,0.0167519999999532,-1.891107852960763,rema_50100150__rbo_100,22.0,rema_50100150__rbo_100,AAPL
rbo_100__rbo_50_equity_equal,9999.036299999989,-0.0096370000001066,-1.8851710704061084,rbo_100__rbo_50,22.0,rbo_100__rbo_50,AAPL
rsma_50100150_equity_equal,9994.552399999997,-0.0544760000000366,-2.829941000154892,rsma_50100150,,rsma_50100150,AAPL
rbo_20__rema_50100150_equity_equal,9989.4923,-0.1050769999999978,-1.36187824467817,rbo_20__rema_50100150,65.0,rbo_20__rema_50100150,AAPL
rbo_20__rbo_50_equity_equal,9982.218799999991,-0.177812000000066,-2.0790279773491176,rbo_20__rbo_50,17.0,rbo_20__rbo_50,AAPL
rtt_5020__rbo_20_equity_equal,9982.014299999984,-0.179857000000172,-1.700224781370991,rtt_5020__rbo_20,7.0,rtt_5020__rbo_20,AAPL
rtt_5020__rtt_5020_equity_equal,9973.653699999992,-0.2634630000000859,-2.076375040044242,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020,AAPL
rtt_5020__rbo_50_equity_equal,9973.653699999992,-0.2634630000000859,-2.076375040044242,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50,AAPL
rbo_50__rtt_5020_equity_equal,9973.653699999992,-0.2634630000000859,-2.076375040044242,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020,AAPL
rbo_50__rbo_50_equity_equal,9973.653699999992,-0.2634630000000859,-2.076375040044242,rbo_50__rbo_50,5.0,rbo_50__rbo_50,AAPL
rtt_5020__rema_50100150_equity_equal,9973.438899999996,-0.2656110000000211,-1.3601406364091029,rtt_5020__rema_50100150,54.0,rtt_5020__rema_50100150,AAPL
rbo_50__rema_50100150_equity_equal,9967.438499999997,-0.3256150000000346,-1.3947248326025194,rbo_50__rema_50100150,63.0,rbo_50__rema_50100150,AAPL
rema_50100150__rbo_20_equity_equal,9961.690799999997,-0.3830920000000293,-1.8102442673197403,rema_50100150__rbo_20,27.0,rema_50100150__rbo_20,AAPL
rema_50100150__rsma_50100150_equity_equal,9953.502199999995,-0.4649780000000492,-1.114982489216008,rema_50100150__rsma_50100150,24.0,rema_50100150__rsma_50100150,AAPL
rbo_100__rema_50100150_equity_equal,9952.304199999997,-0.4769580000000495,-1.2149938272208072,rbo_100__rema_50100150,71.0,rbo_100__rema_50100150,AAPL
rema_50100150__rbo_50_equity_equal,9933.649100000004,-0.6635089999999622,-1.8573657341843228,rema_50100150__rbo_50,14.0,rema_50100150__rbo_50,AAPL
rema_50100150__rtt_5020_equity_equal,9933.649100000004,-0.6635089999999622,-1.8573657341843228,rema_50100150__rtt_5020,14.0,rema_50100150__rtt_5020,AAPL
rtt_5020_equity_equal,9925.620100000006,-0.743798999999945,-2.65844569262341,rtt_5020,,rtt_5020,AAPL
rbo_20__rbo_20_equity_convex,9923.524099999984,-0.7647590000001592,-63.448949508476026,rbo_20__rbo_20,7.0,rbo_20__rbo_20,AAPL
rema_50100150__rbo_100_equity_constant,9900.916800000006,-0.9908319999999416,-16.519532577124252,rema_50100150__rbo_100,22.0,rema_50100150__rbo_100,AAPL
rbo_20__rsma_50100150_equity_convex,9894.66680000003,-1.053331999999696,-62.16534607160631,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150,AAPL
rema_50100150__rema_50100150_equity_equal,9889.076099999991,-1.109239000000073,-1.350084625491308,rema_50100150__rema_50100150,7.0,rema_50100150__rema_50100150,AAPL
rtt_5020__rema_50100150_equity_constant,9846.0161,-1.5398390000000095,-14.35459771138693,rtt_5020__rema_50100150,54.0,rtt_5020__rema_50100150,AAPL
rbo_100_equity_equal,9826.791599999997,-1.7320840000000337,-2.8015840264395337,rbo_100,,rbo_100,AAPL
rbo_100__rema_50100150_equity_constant,9808.805399999996,-1.911946000000042,-11.592362818798364,rbo_100__rema_50100150,71.0,rbo_100__rema_50100150,AAPL
rbo_50__rema_50100150_equity_constant,9755.434699999994,-2.4456530000000587,-14.67905131030785,rbo_50__rema_50100150,63.0,rbo_50__rema_50100150,AAPL
rbo_50_equity_equal,9747.827600000011,-2.5217239999998697,-4.017871036222777,rbo_50,,rbo_50,AAPL
rbo_20__rbo_20_equity_concave,9722.118199999992,-2.778818000000083,-63.72381081630255,rbo_20__rbo_20,7.0,rbo_20__rbo_20,AAPL
rbo_100__rbo_50_equity_constant,9674.925199999994,-3.250748000000059,-13.239517455439495,rbo_100__rbo_50,22.0,rbo_100__rbo_50,AAPL
rtt_5020__rsma_50100150_equity_concave,9639.065099999996,-3.60934900000004,-89.3156869370228,rtt_5020__rsma_50100150,64.0,rtt_5020__rsma_50100150,AAPL
rema_50100150_equity_equal,9573.359299999993,-4.266407000000094,-4.813686069387373,rema_50100150,,rema_50100150,AAPL
rbo_20__rsma_50100150_equity_concave,9552.651400000028,-4.473485999999715,-63.4246459629065,rbo_20__rsma_50100150,72.0,rbo_20__rsma_50100150,AAPL
rbo_20__rbo_50_equity_constant,9530.17829999999,-4.698217000000094,-15.95866629235824,rbo_20__rbo_50,17.0,rbo_20__rbo_50,AAPL
rbo_50__rtt_5020_equity_constant,9350.363799999992,-6.496362000000078,-14.716936044993234,rbo_50__rtt_5020,5.0,rbo_50__rtt_5020,AAPL
rbo_50__rbo_50_equity_constant,9350.363799999992,-6.496362000000078,-14.716936044993234,rbo_50__rbo_50,5.0,rbo_50__rbo_50,AAPL
rtt_5020__rtt_5020_equity_constant,9350.363799999992,-6.496362000000078,-14.716936044993234,rtt_5020__rtt_5020,5.0,rtt_5020__rtt_5020,AAPL
rtt_5020__rbo_50_equity_constant,9350.363799999992,-6.496362000000078,-14.716936044993234,rtt_5020__rbo_50,5.0,rtt_5020__rbo_50,AAPL
rbo_50__rbo_20_equity_constant,9329.599999999997,-6.704000000000033,-13.987940929870453,rbo_50__rbo_20,26.0,rbo_50__rbo_20,AAPL
rtt_5020__rbo_20_equity_constant,9193.240700000002,-8.067592999999984,-11.939623178589148,rtt_5020__rbo_20,7.0,rtt_5020__rbo_20,AAPL
rema_50100150__rsma_50100150_equity_constant,9102.845799999996,-8.97154200000002,-14.16469869343359,rema_50100150__rsma_50100150,24.0,rema_50100150__rsma_50100150,AAPL
